Ref,Status,Location,Name,Created,Type,Status Changed,Open Actions,Total Actions,Association,OverDue,Images,Comments,Documents,Project,Report Forms Status,Report Forms Group
F131475.122,Open / Ongoing Works,2nd Floor Plan>Block 4>ITP 02 Architectural & M&E Services>QC & BC(A)R,JPC-QC-CL-204 Void Closure Sign Off (Walls and Ceilings),14/09/2020,Quality 02 Architectural,14/09/2020,0,0,,FALSE,TRUE,FALSE,FALSE,1328,Open,Quality
F118318.384,Open / Ongoing Works,RM.2.213>Rooms>2nd Floor Plan>Block 4>ITP 02 Architectural & M&E Services>QC & BC(A)R,JPC-QC-CL-204 Void Closure Sign Off (Walls and Ceilings),14/09/2020,Quality 02 Architectural,14/09/2020,0,0,,FALSE,TRUE,FALSE,FALSE,1328,Open,Quality
F118318.382,Open / Ongoing Works,2nd Floor Plan>Block 4>ITP 02 Architectural & M&E Services>QC & BC(A)R,JPC-QC-CL-204 Void Closure Sign Off (Walls and Ceilings),14/09/2020,Quality 02 Architectural,14/09/2020,0,0,,FALSE,TRUE,FALSE,FALSE,1328,Open,Quality
F1.495070,Open / Ongoing Works,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,14/09/2020,Subcontractor Inspections,14/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Open,Subcontractor
F1.495069,Open / Ongoing Works,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,14/09/2020,Subcontractor Inspections,14/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Open,Subcontractor
F116412.530,Closed JPC Reviewed,QC Training Records>Quality Management>JPC Project Management,QM-FRM-QC005 - Training Record,14/09/2020,Quality 00 General,14/09/2020,0,0,,FALSE,FALSE,FALSE,TRUE,1328,Closed,Quality
F118982.32,Open / Ongoing Works,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,14/09/2020,Subcontractor Inspections,14/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Open,Subcontractor
F131475.121,Open / Ongoing Works,RM.03.332>Area 2>3rd Floor Plan>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,JPC-QC-CL-204 Void Closure Sign Off (Walls and Ceilings),14/09/2020,Quality 02 Architectural,14/09/2020,0,0,,FALSE,TRUE,FALSE,FALSE,1328,Open,Quality
F131475.119,Open / Ongoing Works,RM.03.330>Area 2>3rd Floor Plan>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,JPC-QC-CL-204 Void Closure Sign Off (Walls and Ceilings),14/09/2020,Quality 02 Architectural,14/09/2020,0,0,,FALSE,TRUE,FALSE,FALSE,1328,Open,Quality
F118318.380,Open / Ongoing Works,RM.05.634 - Corridor>Common Areas>5th Floor Plan>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,QM-CL-ARC-202 Partitions Inspection,14/09/2020,Quality 02 Architectural,14/09/2020,0,0,,FALSE,TRUE,FALSE,FALSE,1328,Open,Quality
F1.494417,Open / Ongoing Works,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,14/09/2020,Subcontractor Inspections,14/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Open,Subcontractor
F113721.280,Opened,01 Daily Site Diary>Site Management>JPC Project Management,1328 CM-SM-FRM-001 Site Diary,14/09/2020,Site Management,14/09/2020,0,0,,FALSE,TRUE,TRUE,TRUE,1328,Open,Site Management
F1.494370,Open / Ongoing Works,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,14/09/2020,Subcontractor Inspections,14/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Open,Subcontractor
F1.494367,Open / Ongoing Works,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,14/09/2020,Subcontractor Inspections,14/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Open,Subcontractor
F1.494364,Open / Ongoing Works,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,14/09/2020,Subcontractor Inspections,14/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Open,Subcontractor
F1.494358,Open / Ongoing Works,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,14/09/2020,Subcontractor Inspections,14/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Open,Subcontractor
F1.494278,Open / Ongoing Works,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,14/09/2020,Subcontractor Inspections,14/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Open,Subcontractor
F1.494207,Open / Ongoing Works,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,13/09/2020,Subcontractor Inspections,13/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Open,Subcontractor
F124541.20,Open / Ongoing Works,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,13/09/2020,Subcontractor Inspections,13/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Open,Subcontractor
F1.494156,Open / Ongoing Works,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,13/09/2020,Subcontractor Inspections,13/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Open,Subcontractor
F118318.381,Open / Ongoing Works,4th Floor Plan>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,QM-CL-ME-401 Services Test,14/09/2020,Quality 04 MEP Services,14/09/2020,0,0,,FALSE,TRUE,FALSE,FALSE,1328,Open,Quality
F116412.529,Open / Ongoing Works,2nd to 3rd Floor>3. Courtyard (West Elevation)>Elevations>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,QM-FRM-QC-009 Quality Control Record,14/09/2020,Quality 00 General,14/09/2020,0,0,,FALSE,TRUE,FALSE,FALSE,1328,Open,Quality
F116412.528,Open / Ongoing Works,3rd to 4th Floor>3. Courtyard (West Elevation)>Elevations>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,QM-FRM-QC-009 Quality Control Record,14/09/2020,Quality 00 General,14/09/2020,0,0,,FALSE,TRUE,FALSE,FALSE,1328,Open,Quality
F116412.527,Open / Ongoing Works,2nd to 3rd Floor>4. Courtyard (South Elevation)>Elevations>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,QM-FRM-QC-009 Quality Control Record,14/09/2020,Quality 00 General,14/09/2020,0,0,,FALSE,TRUE,FALSE,FALSE,1328,Open,Quality
F145185.1,Open / Ongoing Works,3rd to 4th Floor>4. Courtyard (South Elevation)>Elevations>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,QM-FRM-QC-009 Quality Control Record,14/09/2020,Quality 00 General,14/09/2020,0,0,,FALSE,TRUE,FALSE,FALSE,1328,Open,Quality
F145185.2,Open / Ongoing Works,3rd to 4th Floor>5. Moss Street (East Elevation)>Elevations>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,QM-FRM-QC-009 Quality Control Record,14/09/2020,Quality 00 General,14/09/2020,0,0,,FALSE,TRUE,FALSE,FALSE,1328,Open,Quality
F145185.3,Open / Ongoing Works,3rd to 4th Floor>6. Townsend Street (North Elevation)>Elevations>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,QM-FRM-QC-009 Quality Control Record,14/09/2020,Quality 00 General,14/09/2020,0,0,,FALSE,TRUE,FALSE,FALSE,1328,Open,Quality
F131475.118,Open / Ongoing Works,EHS Management>JPC Project Management,CM-EHS-FRM-009 Temporary Electrics Inspection,11/09/2020,Safety Forms,11/09/2020,11,11,parent,FALSE,TRUE,TRUE,FALSE,1328,Open,Safety
F113721.278,Opened,01 Daily Site Diary>Site Management>JPC Project Management,1328 CM-SM-FRM-001 Site Diary,11/09/2020,Site Management,11/09/2020,0,0,,FALSE,TRUE,FALSE,TRUE,1328,Open,Site Management
F1.492634,Subcontractor Signed Off,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,11/09/2020,Subcontractor Inspections,14/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Closed,Subcontractor
F124541.19,Open / Ongoing Works,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,10/09/2020,Subcontractor Inspections,10/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Open,Subcontractor
F124541.18,Open / Ongoing Works,Items to be Deleted,SM-FRM-SUB-101 Daily Work Plan,10/09/2020,Subcontractor Inspections,10/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Open,Subcontractor
F124541.17,Open / Ongoing Works,Items to be Deleted,SM-FRM-SUB-101 Daily Work Plan,10/09/2020,Subcontractor Inspections,10/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Open,Subcontractor
F124541.16,Open / Ongoing Works,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,10/09/2020,Subcontractor Inspections,10/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Open,Subcontractor
F124541.15,Open / Ongoing Works,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,10/09/2020,Subcontractor Inspections,10/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Open,Subcontractor
F1.492530,Subcontractor Signed Off,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,10/09/2020,Subcontractor Inspections,10/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Closed,Subcontractor
F1.492500,Open / Ongoing Works,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,10/09/2020,Subcontractor Inspections,11/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Open,Subcontractor
F1.492490,JPC Signed Off / Closed,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,10/09/2020,Subcontractor Inspections,11/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Closed,Subcontractor
F1.492485,JPC Signed Off / Closed,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,10/09/2020,Subcontractor Inspections,11/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Closed,Subcontractor
F1.492481,JPC Signed Off / Closed,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,10/09/2020,Subcontractor Inspections,11/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Closed,Subcontractor
F1.492480,JPC Signed Off / Closed,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,10/09/2020,Subcontractor Inspections,11/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Closed,Subcontractor
F1.492475,JPC Signed Off / Closed,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,10/09/2020,Subcontractor Inspections,10/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Closed,Subcontractor
F1.492470,JPC Signed Off / Closed,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,10/09/2020,Subcontractor Inspections,10/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Closed,Subcontractor
F1.492469,Open / Ongoing Works,5th Floor Plan>Block 1>ITP 01 Structural>QC & BC(A)R,1328 QM-CL-CS-110 Concreting Inspection (In Situ),10/09/2020,Quality 01 Structural,10/09/2020,0,0,,FALSE,TRUE,FALSE,TRUE,1328,Open,Quality
F1.492465,JPC Signed Off / Closed,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,10/09/2020,Subcontractor Inspections,11/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Closed,Subcontractor
F1.492459,Open / Ongoing Works,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,10/09/2020,Subcontractor Inspections,10/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Open,Subcontractor
F1.492446,Open / Ongoing Works,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,10/09/2020,Subcontractor Inspections,10/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Open,Subcontractor
F1.492443,Open / Ongoing Works,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,10/09/2020,Subcontractor Inspections,10/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Open,Subcontractor
F1.492440,Open / Ongoing Works,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,10/09/2020,Subcontractor Inspections,10/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Open,Subcontractor
F116412.520,Open / Ongoing Works,JPC Project Management,CM-EHS-FRM-001 EHS Daily Management Inspection,10/09/2020,Safety Forms,10/09/2020,10,11,parent,FALSE,TRUE,FALSE,FALSE,1328,Open,Safety
F102497.30,Open / Ongoing Works,JPC Project Management,JPC-PM-FRM-001 - Minutes of Meeting,10/09/2020,00 Project Management,10/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Open,#N/A
F131475.117,Open / Ongoing Works,RM.03.302>Area 1>3rd Floor Plan>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,JPC-QC-CL-204 Void Closure Sign Off (Walls and Ceilings),10/09/2020,Quality 02 Architectural,10/09/2020,0,0,,FALSE,TRUE,FALSE,FALSE,1328,Open,Quality
F131475.116,Open / Ongoing Works,RM.04.458>Area 3>4th Floor Plan>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,JPC-QC-CL-204 Void Closure Sign Off (Walls and Ceilings),10/09/2020,Quality 02 Architectural,10/09/2020,0,0,,FALSE,TRUE,FALSE,FALSE,1328,Open,Quality
F131475.115,Open / Ongoing Works,RM.04.468>Area 3>4th Floor Plan>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,JPC-QC-CL-204 Void Closure Sign Off (Walls and Ceilings),10/09/2020,Quality 02 Architectural,10/09/2020,0,0,,FALSE,TRUE,FALSE,FALSE,1328,Open,Quality
F131475.114,Open / Ongoing Works,RM.04.543 - Corridor>Common Areas>4th Floor Plan>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,JPC-QC-CL-204 Void Closure Sign Off (Walls and Ceilings),10/09/2020,Quality 02 Architectural,10/09/2020,0,0,,FALSE,TRUE,FALSE,FALSE,1328,Open,Quality
F131475.113,Open / Ongoing Works,R.01.240 - Corridor>Common Areas>1st Floor Plan>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,JPC-QC-CL-204 Void Closure Sign Off (Walls and Ceilings),10/09/2020,Quality 02 Architectural,10/09/2020,0,0,,FALSE,TRUE,FALSE,FALSE,1328,Open,Quality
F131475.112,Open / Ongoing Works,R.01.238 - Corridor>Common Areas>1st Floor Plan>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,JPC-QC-CL-204 Void Closure Sign Off (Walls and Ceilings),10/09/2020,Quality 02 Architectural,10/09/2020,0,0,,FALSE,TRUE,FALSE,FALSE,1328,Open,Quality
F1.492238,Open / Ongoing Works,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,10/09/2020,Subcontractor Inspections,10/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Open,Subcontractor
F1.492196,Open / Ongoing Works,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,10/09/2020,Subcontractor Inspections,10/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Open,Subcontractor
F1.492148,Subcontractor Signed Off,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,10/09/2020,Subcontractor Inspections,12/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Closed,Subcontractor
F1.491905,Open / Ongoing Works,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,10/09/2020,Subcontractor Inspections,10/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Open,Subcontractor
F113721.277,Open / Ongoing Works,RM.05.564>Area 3>5th Floor Plan>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,QM-FRM-QC-009 Quality Control Record,10/09/2020,Quality 00 General,10/09/2020,0,0,,FALSE,TRUE,FALSE,FALSE,1328,Open,Quality
F113721.276,Open / Ongoing Works,RM.05.566>Area 3>5th Floor Plan>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,QM-FRM-QC-009 Quality Control Record,10/09/2020,Quality 00 General,10/09/2020,0,0,,FALSE,TRUE,FALSE,FALSE,1328,Open,Quality
F113721.275,Open / Ongoing Works,Area 3>5th Floor Plan>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,QM-FRM-QC-009 Quality Control Record,10/09/2020,Quality 00 General,10/09/2020,0,0,,FALSE,TRUE,FALSE,FALSE,1328,Open,Quality
F113721.274,Open / Ongoing Works,RM.05.570>Area 3>5th Floor Plan>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,QM-FRM-QC-009 Quality Control Record,10/09/2020,Quality 00 General,10/09/2020,0,0,,FALSE,TRUE,FALSE,FALSE,1328,Open,Quality
F113721.273,Open / Ongoing Works,RM.05.572>Area 3>5th Floor Plan>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,QM-FRM-QC-009 Quality Control Record,10/09/2020,Quality 00 General,10/09/2020,0,0,,FALSE,TRUE,FALSE,FALSE,1328,Open,Quality
