,Ref,Status,Location,Name,Created,Type,Status Changed,Open Actions,Total Actions,OverDue,Project,Report Forms Status,Report Forms Group,Created_Sec,Status Changed_Sec,Create_to_Last_StatusChanged(s),Create_to_Last_StatusChanged(weeks),Create_to_Last_StatusChanged(days)
588,F90895.99,Closed,01 Inspections>EHS Management>JPC Project Management,EHS Inspection.,21/08/2020,Safety Forms,01/09/2020,0,8,False,1328,Closed,Safety,1597960800,1598911200,950400,1,11
591,F1.473727,Open / Ongoing Works,EHS Management>JPC Project Management,CM-EHS-FRM-104 - Method Statement Sign In Sheet,21/08/2020,Safety Forms,21/08/2020,0,0,False,1328,Open,Safety,1597960800,1597960800,0,0,0
616,F116412.473,Closed,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-001 EHS Daily Management Inspection,20/08/2020,Safety Forms,26/08/2020,0,4,False,1328,Closed,Safety,1597874400,1598392800,518400,0,6
636,F141007.1,Closed,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-001 EHS Daily Management Inspection,19/08/2020,Safety Forms,20/08/2020,0,16,False,1328,Closed,Safety,1597788000,1597874400,86400,0,1
638,F1.471934,Open / Ongoing Works,Site Management>JPC Project Management,CM-EHS-FRM-105 - Daily Safe Start,19/08/2020,Safety Forms,19/08/2020,0,0,False,1328,Open,Safety,1597788000,1597788000,0,0,0
640,F1.471930,Open / Ongoing Works,1328 - Townsend St,CM-EHS-FRM-105 - Daily Safe Start,19/08/2020,Safety Forms,19/08/2020,0,0,False,1328,Open,Safety,1597788000,1597788000,0,0,0
641,F1.471928,Open / Ongoing Works,1328 - Townsend St,CM-EHS-FRM-105 - Daily Safe Start,19/08/2020,Safety Forms,19/08/2020,0,0,False,1328,Open,Safety,1597788000,1597788000,0,0,0
672,F128229.7,Open / Ongoing Works,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-007 COVID-19 Inspection,18/08/2020,Safety Forms,18/08/2020,0,0,False,1328,Open,Safety,1597701600,1597701600,0,0,0
678,F137980.3,Closed,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-001 EHS Daily Management Inspection,18/08/2020,Safety Forms,20/08/2020,0,16,False,1328,Closed,Safety,1597701600,1597874400,172800,0,2
691,F118318.361,Closed,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-001 EHS Daily Management Inspection,17/08/2020,Safety Forms,20/08/2020,0,9,False,1328,Closed,Safety,1597615200,1597874400,259200,0,3
725,F107663.65,Closed,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-001 EHS Daily Management Inspection,14/08/2020,Safety Forms,20/08/2020,0,7,False,1328,Closed,Safety,1597356000,1597874400,518400,0,6
726,F90895.97,Closed,01 Inspections>EHS Management>JPC Project Management,EHS Inspection.,14/08/2020,Safety Forms,20/08/2020,0,8,False,1328,Closed,Safety,1597356000,1597874400,518400,0,6
746,F90895.96,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,13/08/2020,Safety Forms,14/08/2020,0,12,False,1328,Closed,Safety,1597269600,1597356000,86400,0,1
750,F128229.6,Open / Ongoing Works,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-007 COVID-19 Inspection,13/08/2020,Safety Forms,13/08/2020,0,0,False,1328,Open,Safety,1597269600,1597269600,0,0,0
771,F84104.855,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,12/08/2020,Safety Forms,14/08/2020,0,7,False,1328,Closed,Safety,1597183200,1597356000,172800,0,2
774,F128229.5,Open / Ongoing Works,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-007 COVID-19 Inspection,12/08/2020,Safety Forms,12/08/2020,0,0,False,1328,Open,Safety,1597183200,1597183200,0,0,0
818,F131475.56,Closed,EHS Management>JPC Project Management,CM-EHS-FRM-001 EHS Daily Management Inspection,10/08/2020,Safety Forms,14/08/2020,0,7,False,1328,Closed,Safety,1597010400,1597356000,345600,0,4
825,F90895.95,Closed,01 Inspections>EHS Management>JPC Project Management,EHS Inspection.,07/08/2020,Safety Forms,14/08/2020,0,3,False,1328,Closed,Safety,1596751200,1597356000,604800,1,7
830,F128229.2,Closed,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-007 COVID-19 Inspection,06/08/2020,Safety Forms,07/08/2020,0,0,False,1328,Closed,Safety,1596664800,1596751200,86400,0,1
843,F1.463902,Open / Ongoing Works,1328 - Townsend St,CM-EHS-FRM-103 - Toolbox Training Record & Sign In Sheet,11/08/2020,Safety Forms,11/08/2020,0,0,False,1328,Open,Safety,1597096800,1597096800,0,0,0
845,F84104.854,Closed,01 Inspections>EHS Management>JPC Project Management,CONTRACTS MANAGER SAFETY ASSESSMENT (monthly),11/08/2020,Safety Forms,14/08/2020,0,0,False,1328,Closed,Safety,1597096800,1597356000,259200,0,3
846,F131475.58,Closed,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-001 EHS Daily Management Inspection,11/08/2020,Safety Forms,14/08/2020,0,10,False,1328,Closed,Safety,1597096800,1597356000,259200,0,3
849,F131475.57,Closed,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-001 EHS Daily Management Inspection,11/08/2020,Safety Forms,09/09/2020,0,0,False,1328,Closed,Safety,1597096800,1599602400,2505600,4,29
1041,F84104.845,Opened,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,16/07/2020,Safety Forms,16/07/2020,0,2,False,1328,Open,Safety,1594850400,1594850400,0,0,0
1042,F84104.844,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,15/07/2020,Safety Forms,07/08/2020,0,9,False,1328,Closed,Safety,1594764000,1596751200,1987200,3,23
1062,F113721.89,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,10/07/2020,Safety Forms,16/07/2020,0,5,False,1328,Closed,Safety,1594332000,1594850400,518400,0,6
1063,F90895.93,Closed,01 Inspections>EHS Management>JPC Project Management,EHS Inspection.,10/07/2020,Safety Forms,07/08/2020,0,10,False,1328,Closed,Safety,1594332000,1596751200,2419200,4,28
1065,F90895.94,Closed,01 Inspections>EHS Management>JPC Project Management,EHS Inspection.,17/07/2020,Safety Forms,07/08/2020,0,8,False,1328,Closed,Safety,1594936800,1596751200,1814400,3,21
1074,F116412.373,Completed and signed off,EHS Management>JPC Project Management,EHS Managment Inspection - Daily,09/07/2020,Safety Forms,10/07/2020,0,6,False,1328,Closed,Safety,1594245600,1594332000,86400,0,1
1079,F74906.96,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,08/07/2020,Safety Forms,10/07/2020,0,13,False,1328,Closed,Safety,1594159200,1594332000,172800,0,2
1082,F90895.92,Closed,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-007 COVID-19 Inspection,08/07/2020,Safety Forms,10/07/2020,0,0,False,1328,Closed,Safety,1594159200,1594332000,172800,0,2
1094,F116412.366,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,07/07/2020,Safety Forms,10/07/2020,0,7,False,1328,Closed,Safety,1594072800,1594332000,259200,0,3
1102,F1.429904,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,06/07/2020,Safety Forms,10/07/2020,0,10,False,1328,Closed,Safety,1593986400,1594332000,345600,0,4
1106,F128229.1,Open / Ongoing Works,EHS Management>JPC Project Management,CM-EHS-FRM-007 COVID-19 Inspection,06/07/2020,Safety Forms,06/07/2020,0,0,False,1328,Open,Safety,1593986400,1593986400,0,0,0
1148,F84104.829,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,03/07/2020,Safety Forms,10/07/2020,0,10,False,1328,Closed,Safety,1593727200,1594332000,604800,1,7
1149,F90895.91,Closed,01 Inspections>EHS Management>JPC Project Management,EHS Inspection.,03/07/2020,Safety Forms,10/07/2020,0,12,False,1328,Closed,Safety,1593727200,1594332000,604800,1,7
1154,F122196.81,Opened,04 Staturatury Forms>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,02/07/2020,Safety Forms,02/07/2020,1,11,False,1328,Open,Safety,1593640800,1593640800,0,0,0
1161,F118318.338,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,01/07/2020,Safety Forms,03/07/2020,0,23,False,1328,Closed,Safety,1593554400,1593727200,172800,0,2
1184,F74906.95,Closed,Site Management>JPC Project Management,CM-EHS-FRM-009 Temporary Electrics Inspection,29/06/2020,Safety Forms,08/09/2020,0,0,False,1328,Closed,Safety,1593381600,1599516000,6134400,10,71
1186,F131475.38,Completed and signed off,Site Management>JPC Project Management,EHS Managment Inspection - Daily,29/06/2020,Safety Forms,03/07/2020,0,5,False,1328,Closed,Safety,1593381600,1593727200,345600,0,4
1208,F90895.90,Closed,01 Inspections>EHS Management>JPC Project Management,EHS Inspection.,26/06/2020,Safety Forms,03/07/2020,0,8,False,1328,Closed,Safety,1593122400,1593727200,604800,1,7
1215,F113721.86,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,26/06/2020,Safety Forms,26/06/2020,0,7,False,1328,Closed,Safety,1593122400,1593122400,0,0,0
1224,F122196.78,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,30/06/2020,Safety Forms,03/07/2020,0,10,False,1328,Closed,Safety,1593468000,1593727200,259200,0,3
1227,F84104.819,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,25/06/2020,Safety Forms,26/06/2020,0,8,False,1328,Closed,Safety,1593036000,1593122400,86400,0,1
1260,F74906.94,Open / Ongoing Works,01 Inspections>EHS Management>JPC Project Management,DRAFT_CM-EHS-FRM-009 Temporary Electrics Inspection,23/06/2020,Safety Forms,23/06/2020,0,0,False,1328,Open,Safety,1592863200,1592863200,0,0,0
1265,F74906.93,Open / Ongoing Works,EHS Management>JPC Project Management,DRAFT_CM-EHS-FRM-009 Temporary Electrics Inspection,22/06/2020,Safety Forms,22/06/2020,0,0,False,1328,Open,Safety,1592776800,1592776800,0,0,0
1284,F116412.315,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,24/06/2020,Safety Forms,26/06/2020,0,5,False,1328,Closed,Safety,1592949600,1593122400,172800,0,2
1285,F122196.66,Open,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-002 - Contracts Manager Site Safety Walk (General).,24/06/2020,Safety Forms,24/06/2020,0,0,False,1328,Open,Safety,1592949600,1592949600,0,0,0
1286,F122196.65,Opened,01 Inspections>EHS Management>JPC Project Management,CONTRACTS MANAGER SAFETY ASSESSMENT (monthly),24/06/2020,Safety Forms,24/06/2020,0,0,False,1328,Open,Safety,1592949600,1592949600,0,0,0
1288,F131475.20,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,24/06/2020,Safety Forms,24/06/2020,0,0,False,1328,Closed,Safety,1592949600,1592949600,0,0,0
1298,F118318.304,Completed and signed off,Site Management>JPC Project Management,EHS Managment Inspection - Daily,19/06/2020,Safety Forms,26/06/2020,0,13,False,1328,Closed,Safety,1592517600,1593122400,604800,1,7
1304,F90895.89,Closed,01 Inspections>EHS Management>JPC Project Management,EHS Inspection.,19/06/2020,Safety Forms,07/08/2020,0,8,False,1328,Closed,Safety,1592517600,1596751200,4233600,7,49
1317,F129620.5,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,18/06/2020,Safety Forms,26/06/2020,0,16,False,1328,Closed,Safety,1592431200,1593122400,691200,1,8
1325,F84104.807,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,17/06/2020,Safety Forms,26/06/2020,0,7,False,1328,Closed,Safety,1592344800,1593122400,777600,1,9
1351,F118318.288,Completed and signed off,ITP 02 Architectural & M&E Services>QC & BC(A)R,EHS Managment Inspection - Daily,16/06/2020,Safety Forms,18/06/2020,0,15,False,1328,Closed,Safety,1592258400,1592431200,172800,0,2
1366,F84104.802,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,15/06/2020,Safety Forms,18/06/2020,0,12,False,1328,Closed,Safety,1592172000,1592431200,259200,0,3
1368,F113721.78,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,12/06/2020,Safety Forms,18/06/2020,0,10,False,1328,Closed,Safety,1591912800,1592431200,518400,0,6
1370,F90895.88,Closed,01 Inspections>EHS Management>JPC Project Management,EHS Inspection.,12/06/2020,Safety Forms,18/06/2020,0,10,False,1328,Closed,Safety,1591912800,1592431200,518400,0,6
1371,F90895.87,Closed,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-007 COVID-19 Inspection,12/06/2020,Safety Forms,18/06/2020,0,0,False,1328,Closed,Safety,1591912800,1592431200,518400,0,6
1377,F90895.86,Closed,1328 - Townsend St,CM-EHS-FRM-007 COVID-19 Inspection,11/06/2020,Safety Forms,12/06/2020,0,0,False,1328,Closed,Safety,1591826400,1591912800,86400,0,1
1378,F116412.286,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,11/06/2020,Safety Forms,12/06/2020,0,5,False,1328,Closed,Safety,1591826400,1591912800,86400,0,1
1392,F74906.89,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,10/06/2020,Safety Forms,12/06/2020,0,14,False,1328,Closed,Safety,1591740000,1591912800,172800,0,2
1398,F90895.84,Closed,1328 - Townsend St,CM-EHS-FRM-007 COVID-19 Inspection,10/06/2020,Safety Forms,12/06/2020,0,0,False,1328,Closed,Safety,1591740000,1591912800,172800,0,2
1403,F90895.83,Closed,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-007 COVID-19 Inspection,09/06/2020,Safety Forms,12/06/2020,0,0,False,1328,Closed,Safety,1591653600,1591912800,259200,0,3
1405,F131475.1,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,09/06/2020,Safety Forms,12/06/2020,0,5,False,1328,Closed,Safety,1591653600,1591912800,259200,0,3
1412,F1.407110,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,08/06/2020,Safety Forms,12/06/2020,0,14,False,1328,Closed,Safety,1591567200,1591912800,345600,0,4
1416,F90895.81,Closed,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-007 COVID-19 Inspection,08/06/2020,Safety Forms,12/06/2020,0,0,False,1328,Closed,Safety,1591567200,1591912800,345600,0,4
1417,F84104.792,Closed,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-002 - Contracts Manager Site Safety Walk (General).,08/06/2020,Safety Forms,12/06/2020,0,0,False,1328,Closed,Safety,1591567200,1591912800,345600,0,4
1428,F90895.80,Closed,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-007 COVID-19 Inspection,05/06/2020,Safety Forms,12/06/2020,0,0,False,1328,Closed,Safety,1591308000,1591912800,604800,1,7
1431,F90895.79,Closed,01 Inspections>EHS Management>JPC Project Management,EHS Inspection.,05/06/2020,Safety Forms,12/06/2020,0,9,False,1328,Closed,Safety,1591308000,1591912800,604800,1,7
1437,F84104.789,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,05/06/2020,Safety Forms,12/06/2020,0,8,False,1328,Closed,Safety,1591308000,1591912800,604800,1,7
1443,F122196.57,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,04/06/2020,Safety Forms,12/06/2020,0,20,False,1328,Closed,Safety,1591221600,1591912800,691200,1,8
1451,F90895.78,Closed,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-007 COVID-19 Inspection,04/06/2020,Safety Forms,12/06/2020,0,0,False,1328,Closed,Safety,1591221600,1591912800,691200,1,8
1597,F90895.77,Closed,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-007 COVID-19 Inspection,03/06/2020,Safety Forms,12/06/2020,0,0,False,1328,Closed,Safety,1591135200,1591912800,777600,1,9
1605,F122196.55,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,03/06/2020,Safety Forms,12/06/2020,0,6,False,1328,Closed,Safety,1591135200,1591912800,777600,1,9
1611,F90895.76,Closed,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-007 COVID-19 Inspection,02/06/2020,Safety Forms,12/06/2020,0,0,False,1328,Closed,Safety,1591048800,1591912800,864000,1,10
1612,F84104.781,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,02/06/2020,Safety Forms,12/06/2020,0,7,False,1328,Closed,Safety,1591048800,1591912800,864000,1,10
1622,F90895.72,Closed,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-007 COVID-19 Inspection,27/05/2020,Safety Forms,12/06/2020,0,0,False,1328,Closed,Safety,1590530400,1591912800,1382400,2,16
1624,F122196.50,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,27/05/2020,Safety Forms,12/06/2020,0,15,False,1328,Closed,Safety,1590530400,1591912800,1382400,2,16
1626,F118318.253,Closed,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-007 COVID-19 Inspection,26/05/2020,Safety Forms,12/06/2020,0,0,False,1328,Closed,Safety,1590444000,1591912800,1468800,2,17
1631,F129620.2,Completed and signed off,EHS Management>JPC Project Management,EHS Managment Inspection - Daily,26/05/2020,Safety Forms,12/06/2020,0,13,False,1328,Closed,Safety,1590444000,1591912800,1468800,2,17
1635,F118318.252,Closed,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-007 COVID-19 Inspection,25/05/2020,Safety Forms,12/06/2020,0,0,False,1328,Closed,Safety,1590357600,1591912800,1555200,2,18
1641,F118318.251,Closed,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-007 COVID-19 Inspection,22/05/2020,Safety Forms,12/06/2020,0,0,False,1328,Closed,Safety,1590098400,1591912800,1814400,3,21
1642,F118318.249,Closed,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-007 COVID-19 Inspection,21/05/2020,Safety Forms,12/06/2020,0,0,False,1328,Closed,Safety,1590012000,1591912800,1900800,3,22
1649,F118318.248,Open / Ongoing Works,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-007 COVID-19 Inspection,20/05/2020,Safety Forms,20/05/2020,0,0,False,1328,Open,Safety,1589925600,1589925600,0,0,0
1652,F118318.247,Open / Ongoing Works,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-007 COVID-19 Inspection,19/05/2020,Safety Forms,19/05/2020,0,0,False,1328,Open,Safety,1589839200,1589839200,0,0,0
1655,F118318.246,Closed,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-007 COVID-19 Inspection,18/05/2020,Safety Forms,12/06/2020,0,0,False,1328,Closed,Safety,1589752800,1591912800,2160000,3,25
1656,F74906.88,Opened,Site Management>JPC Project Management,CM-EHS-FRM-008 Daily Site Access Register,18/05/2020,Safety Forms,18/05/2020,0,0,False,1328,Open,Safety,1589752800,1589752800,0,0,0
1660,F77029.52,Completed and signed off,1328 - Townsend St,CM-EHS-FRM-008 Daily Site Access Register,01/05/2020,Safety Forms,01/05/2020,0,0,False,1328,Closed,Safety,1588284000,1588284000,0,0,0
1667,F122196.53,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,29/05/2020,Safety Forms,12/06/2020,0,6,False,1328,Closed,Safety,1590703200,1591912800,1209600,2,14
1668,F90895.75,Closed,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-007 COVID-19 Inspection,29/05/2020,Safety Forms,12/06/2020,0,0,False,1328,Closed,Safety,1590703200,1591912800,1209600,2,14
1669,F90895.74,Closed,01 Inspections>EHS Management>JPC Project Management,EHS Inspection.,29/05/2020,Safety Forms,12/06/2020,0,11,False,1328,Closed,Safety,1590703200,1591912800,1209600,2,14
1675,F90895.73,Closed,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-007 COVID-19 Inspection,28/05/2020,Safety Forms,12/06/2020,0,0,False,1328,Closed,Safety,1590616800,1591912800,1296000,2,15
1676,F118318.255,Completed and signed off,ITP 02 Architectural & M&E Services>QC & BC(A)R,EHS Managment Inspection - Daily,28/05/2020,Safety Forms,12/06/2020,0,10,False,1328,Closed,Safety,1590616800,1591912800,1296000,2,15
1692,F1.368275,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,EHS Managment Inspection - Daily,27/03/2020,Safety Forms,31/03/2020,0,6,False,1328,Closed,Safety,1585263600,1585605600,342000,0,3
